city,student_percentage,avg_grad,elevation
Normal,43%,0.29525,265
Birmingham,8%,0.5835333333333333,187
Huntsville,12%,0.32456666666666667,193
Montgomery,4%,0.1159,73
Tuscaloosa,30%,0.5264,68
Auburn,32%,0.552,214
Jacksonville,2%,0.37242,5
Fairfield,10%,0.5490333333333334,13
Mobile,5%,0.31865,3
Florence,19%,0.23109999999999997,167
Troy,20%,0.5073333333333333,228
Anchorage,2%,0.1516,31
Phoenix,8%,0.1920666666666667,1086
Tempe,36%,0.39615,456
Tucson,6%,0.4979,728
Prescott,6%,0.3979,1638
Flagstaff,30%,0.4514,2106
Glendale,0%,0.3,351
Little Rock,2%,0.2449,102
Fayetteville,32%,0.3251,427
Pine Bluff,5%,0.2612,67
Jonesboro,9%,0.3778,79
Conway,28%,0.4701666666666667,95
Fort Smith,4%,0.1655,141
San Francisco,0%,0.25615,52
Pasadena,1%,0.3046,263
Azusa,7%,0.5328,610
La Mirada,7%,0.5503,59
Riverside,10%,0.4437,827
Thousand Oaks,2%,0.6807,886
San Luis Obispo,44%,0.5704,233
Bakersfield,2%,0.1741,123
Turlock,12%,0.1893,102
San Bernardino,7%,0.1872,321
Pomona,17%,0.2843,259
Chico,14%,0.3306,60
Carson,15%,0.158,12
Fresno,4%,0.36665,308
Fullerton,24%,0.2897,50
Hayward,7%,0.1214,105
Long Beach,7%,0.3424,30
Los Angeles,1%,0.5503333333333332,93
Northridge,48%,0.1655,242
Sacramento,5%,0.2031,9
Berkeley,25%,0.7897,52
Davis,47%,0.6194,52
Irvine,10%,0.64395,56
La Jolla,77%,0.7302,32
Santa Barbara,26%,0.699,49
Santa Cruz,28%,0.6039,36
Orange,5%,0.7163,58
San Rafael,2%,0.6786,13
Santa Clarita,0%,0.6617,368
Denver,4%,0.3894,1609
Colorado Springs,6%,0.40503333333333336,1839
Boulder,28%,0.5306,1655
Lakewood,9%,0.4078,14
Fort Collins,14%,0.4671,1525
Grand Junction,12%,0.2758,1397
Greeley,6%,0.3553,1420
Pueblo,2%,0.2078,1430
New Haven,10%,0.5346000000000001,18
Bridgeport,1%,0.3382,1
New Britain,10%,0.2852,51
East Hartford,5%,0.1875,12
West Hartford,6%,0.5276,50
West Haven,8%,0.5207,10
Waterbury,11%,0.1466,80
Hamden,10%,0.7701,56
Hartford,3%,0.6131,18
Middletown,9%,0.4626,12
Danbury,4%,0.3008,121
Newark,79%,0.374825,20
Miami,9%,0.31595,2
Daytona Beach,25%,0.19696666666666665,4
Boca Raton,29%,0.43870000000000003,4
Orlando,19%,0.35685,34
Tallahassee,20%,0.48925,62
Melbourne,3%,0.5295,4
Lakeland,8%,0.4576,141
Gainesville,28%,0.45619999999999994,54
Fort Lauderdale,13%,0.52495,2
Coral Gables,24%,0.731,28
West Palm Beach,1%,0.5046,6
Sarasota,3%,0.7086,7
Tampa,12%,0.4183333333333333,15
Miami Gardens,1%,0.3351,2
Pensacola,16%,0.3485,31
